Country,Region,Year,Life_expectancy,Schooling,Infant_deaths,Under_five_deaths,Adult_mortality,GDP_per_capita,Economy_status_Developed,Economy_status_Developing
Paraguay,South America,2003,71.2,7.0,26.2,31.6,164.433,3816,0,1
Antigua and Barbuda,Central America and Caribbean,2015,76.5,9.2,6.5,7.8,130.0025,14285,0,1
Burundi,Africa,2000,49.1,1.8,94.7,154.5,355.0185,307,0,1
Fiji,Oceania,2006,66.4,9.3,19.9,23.4,207.4675,4620,0,1
Malawi,Africa,2015,62.0,4.4,36.7,53.3,294.858,381,0,1
Guinea,Africa,2005,53.2,1.6,83.9,134.7,318.5825,661,0,1
Comoros,Africa,2014,63.2,4.8,55.8,74.7,229.794,1258,0,1
Rwanda,Africa,2013,66.2,3.8,37.1,52.0,215.093,683,0,1
Antigua and Barbuda,Central America and Caribbean,2011,76.0,9.2,7.9,9.5,136.0795,13525,0,1
Turkmenistan,Asia,2007,65.7,9.9,40.6,47.4,210.7895,3353,0,1
Vanuatu,Oceania,2008,68.8,6.6,24.1,28.8,150.659,2877,0,1
United Kingdom,Rest of Europe,2008,79.6,12.8,4.8,5.6,78.4095,44121,1,0
Kyrgyz Republic,Asia,2008,68.5,10.3,29.6,33.7,213.764,966,0,1
Italy,European Union,2013,82.7,10.3,3.1,3.7,53.267,30258,1,0
Czechia,European Union,2014,78.8,12.8,2.5,3.1,83.987,16951,1,0
St. Vincent and the Grenadines,Central America and Caribbean,2014,72.0,8.6,15.7,17.4,155.902,7029,0,1
Tanzania,Africa,2001,51.4,4.3,74.4,121.9,448.1755,587,0,1
Morocco,Africa,2001,69.2,3.5,42.3,50.1,146.7395,1870,0,1
Estonia,European Union,2009,74.8,12.4,4.0,5.0,153.3555,14205,1,0
El Salvador,Central America and Caribbean,2011,71.4,6.5,15.8,18.5,192.7545,3447,0,1
Moldova,Rest of Europe,2010,69.6,11.1,14.7,17.1,197.1175,2255,0,1
Myanmar,Asia,2015,65.8,4.9,41.0,52.2,196.053,1197,0,1
Nepal,Asia,2013,68.8,4.2,32.0,39.4,163.2835,821,0,1
Tanzania,Africa,2010,58.6,5.1,47.1,71.9,316.531,808,0,1
Belarus,Rest of Europe,2010,70.4,12.0,4.3,5.6,223.1685,5622,0,1
Jamaica,Central America and Caribbean,2000,74.1,7.3,18.9,22.2,168.4155,4841,0,1
Rwanda,Africa,2006,57.1,2.9,59.3,93.9,312.9135,488,0,1
Tajikistan,Asia,2003,64.5,10.6,54.2,65.2,164.6845,556,0,1
Tonga,Oceania,2011,70.1,10.9,11.1,12.9,140.5855,4043,0,1
"Congo, Rep.",Africa,2013,62.0,6.3,39.7,56.2,277.011,2499,0,1
Myanmar,Asia,2014,65.4,4.8,42.3,54.1,197.7265,1168,0,1
"Micronesia, Fed. Sts.",Oceania,2002,64.9,5.3,29.4,35.9,182.694,2984,0,1
Seychelles,Africa,2015,74.3,9.5,12.7,14.8,151.6085,15158,0,1
Bhutan,Asia,2011,68.8,2.3,32.4,40.0,223.746,2387,0,1
Solomon Islands,Oceania,2010,70.7,5.1,22.2,26.4,169.032,2099,0,1
Senegal,Africa,2002,58.7,2.4,62.3,115.1,250.933,1061,0,1
Thailand,Asia,2001,70.8,6.3,17.8,20.9,196.2075,3605,0,1
Netherlands,European Union,2015,81.5,12.1,3.4,4.0,58.0775,45193,1,0
Portugal,European Union,2014,81.1,8.9,3.0,3.6,76.9805,18833,1,0
"Yemen, Rep.",Middle East,2004,62.9,1.7,57.3,76.9,247.6745,2472,0,1
Suriname,South America,2014,71.1,8.2,18.6,20.9,171.5365,9593,0,1
Guinea-Bissau,Africa,2011,55.1,2.7,69.6,109.1,284.733,617,0,1
Zambia,Africa,2008,52.6,6.5,54.5,88.7,442.735,1068,0,1
"Gambia, The",Africa,2003,57.2,2.2,56.4,99.8,293.086,724,0,1
United Arab Emirates,Middle East,2011,76.5,10.0,7.2,8.4,72.9945,33246,0,1
Burundi,Africa,2015,60.1,2.9,46.2,67.6,294.187,306,0,1
United Arab Emirates,Middle East,2009,76.1,9.7,7.6,8.9,75.597,34580,0,1
Hungary,European Union,2008,73.7,11.5,5.5,6.5,166.717,11937,1,0
Malawi,Africa,2013,59.9,4.4,42.2,63.4,315.314,370,0,1
Eritrea,Africa,2000,55.3,3.7,56.1,85.2,370.455,828,0,1
Italy,European Union,2012,82.2,9.9,3.2,3.8,55.1645,31185,1,0
Oman,Middle East,2011,75.9,8.3,10.0,11.6,96.52,19868,0,1
Nepal,Asia,2006,65.8,2.9,43.8,56.3,197.587,629,0,1
Serbia,Rest of Europe,2009,74.0,10.4,6.7,7.8,130.945,5148,0,1
France,European Union,2013,82.2,11.2,3.1,4.1,77.9145,36205,1,0
Greece,European Union,2010,80.4,10.3,3.4,3.9,74.8405,21560,1,0
Guyana,South America,2003,66.1,7.8,34.7,43.2,226.301,3966,0,1
Nigeria,Africa,2009,50.4,5.2,85.9,138.3,379.9755,2286,0,1
Bolivia,South America,2011,68.5,8.0,31.2,39.2,196.6465,2603,0,1
Australia,Oceania,2010,81.7,12.4,4.0,4.8,62.169,53543,1,0
Jordan,Middle East,2009,73.3,9.9,17.6,20.7,116.897,4782,0,1
Timor-Leste,Oceania,2010,67.2,4.4,51.4,61.5,164.1365,1186,0,1
Timor-Leste,Oceania,2003,61.9,3.0,73.0,91.2,234.413,934,0,1
Paraguay,South America,2014,73.5,8.2,19.6,23.0,146.1335,5329,0,1
Suriname,South America,2002,68.1,7.7,25.7,29.1,212.234,6488,0,1
China,Asia,2011,74.7,7.4,11.5,14.6,90.7325,6153,0,1
Serbia,Rest of Europe,2012,74.8,10.5,6.2,7.1,121.4185,5344,0,1
"Yemen, Rep.",Middle East,2013,66.0,3.0,45.2,58.4,226.386,2348,0,1
Mozambique,Africa,2015,57.2,3.5,61.3,84.0,332.583,590,0,1
Poland,European Union,2002,74.5,11.4,7.3,8.4,143.4055,7607,1,0
Bulgaria,European Union,2015,74.6,11.8,6.9,8.2,136.0675,7075,1,0
China,Asia,2005,73.0,6.9,19.4,24.0,102.5235,3391,0,1
France,European Union,2006,80.8,10.6,3.3,4.5,89.724,35826,1,0
Czechia,European Union,2008,77.0,12.2,3.0,3.7,104.5205,17047,1,0
Sierra Leone,Africa,2015,52.9,3.4,95.1,140.2,397.8705,588,0,1
Qatar,Middle East,2013,79.5,9.9,7.2,8.4,57.8825,62733,0,1
Burkina Faso,Africa,2013,58.9,1.4,62.7,108.3,267.2085,639,0,1
Sao Tome and Principe,Central America and Caribbean,2002,62.7,4.3,48.0,71.0,217.479,1087,0,1
Mauritius,Africa,2007,72.6,7.6,13.0,15.2,157.4485,6939,0,1
Kazakhstan,Asia,2014,71.4,11.7,11.6,13.0,193.594,10539,0,1
Argentina,South America,2012,75.6,9.8,11.9,13.3,121.2325,13896,0,1
Ireland,European Union,2001,77.1,11.0,5.8,6.9,89.055,43139,1,0
"Congo, Rep.",Africa,2014,62.6,6.3,38.7,54.4,269.618,2603,0,1
Guinea,Africa,2010,56.9,1.6,74.4,117.7,290.8,689,0,1
Tonga,Oceania,2001,69.7,9.1,14.2,16.5,156.677,3790,0,1
Rwanda,Africa,2009,62.1,3.3,47.0,69.6,259.5265,573,0,1
Mongolia,Asia,2005,65.1,8.6,33.1,40.9,252.831,2068,0,1
Seychelles,Africa,2001,73.3,7.5,11.8,13.7,178.6415,10915,0,1
Syrian Arab Republic,Middle East,2005,74.4,5.8,16.8,19.7,116.383,1532,0,1
Latvia,European Union,2002,71.0,10.6,10.2,12.6,225.2175,7849,1,0
France,European Union,2005,80.2,10.4,3.3,4.6,91.6715,35214,1,0
Syrian Arab Republic,Middle East,2015,69.9,5.1,25.6,41.6,178.1065,979,0,1
Indonesia,Asia,2006,67.7,7.9,32.4,39.9,189.1485,2289,0,1
United Arab Emirates,Middle East,2013,76.9,10.3,6.8,8.0,70.6545,35496,0,1
Burkina Faso,Africa,2010,57.1,1.4,68.1,121.5,280.9365,582,0,1
Haiti,Central America and Caribbean,2005,58.7,4.3,65.3,89.4,287.5005,1284,0,1
Mali,Africa,2008,54.2,1.9,81.1,140.2,289.566,707,0,1
Cambodia,Asia,2013,67.9,4.6,30.3,35.3,182.9515,1048,0,1
Eswatini,Africa,2000,47.5,3.9,67.8,112.2,559.1865,2472,0,1
Kyrgyz Republic,Asia,2009,69.1,10.4,27.8,31.6,206.2885,982,0,1
Grenada,Central America and Caribbean,2000,72.6,7.4,12.9,15.5,179.4865,6977,0,1
Guyana,South America,2008,67.5,8.0,31.7,39.0,219.435,4512,0,1
"Micronesia, Fed. Sts.",Oceania,2009,66.3,7.0,27.8,33.7,172.001,3015,0,1
Barbados,Central America and Caribbean,2011,78.5,9.9,13.7,14.8,104.765,16619,0,1
Kiribati,Oceania,2003,64.0,7.1,49.5,64.8,215.9625,1541,0,1
Bahrain,Middle East,2007,75.6,8.4,8.4,9.8,73.874,22112,0,1
Colombia,South America,2006,74.5,6.7,17.8,20.8,155.343,4638,0,1
Germany,European Union,2012,80.5,14.0,3.4,4.0,73.3235,40069,1,0
Fiji,Oceania,2000,65.7,9.6,19.1,22.4,219.344,4107,0,1
India,Asia,2014,68.3,6.1,36.9,46.2,180.388,1503,0,1
"Venezuela, RB",South America,2004,72.7,7.2,16.4,19.1,155.121,4326,0,1
Belgium,European Union,2006,79.4,11.1,4.0,4.8,86.023,39148,1,0
Slovak Republic,European Union,2014,76.8,12.3,5.2,6.4,108.859,15547,1,0
Antigua and Barbuda,Central America and Caribbean,2007,75.4,9.2,9.6,11.7,142.994,18062,0,1
El Salvador,Central America and Caribbean,2015,72.4,6.6,13.3,15.5,182.1595,3706,0,1
Panama,Central America and Caribbean,2015,77.8,9.9,14.6,17.0,114.701,13630,0,1
Bulgaria,European Union,2010,73.5,10.6,9.0,10.8,142.4175,6428,1,0
Mozambique,Africa,2013,54.9,3.4,64.7,92.3,356.677,544,0,1
Croatia,European Union,2005,75.2,9.7,5.8,6.7,112.169,11400,1,0
Libya,Africa,2004,71.7,6.3,21.0,24.4,137.419,11583,0,1
Bolivia,South America,2000,62.5,7.4,55.9,75.6,240.0465,2059,0,1
Maldives,Asia,2003,72.4,3.3,22.8,27.1,109.936,7553,0,1
Vanuatu,Oceania,2005,68.4,6.5,23.6,28.2,161.244,2622,0,1
Eswatini,Africa,2014,53.6,6.5,50.1,62.4,443.15,3630,0,1
Iraq,Middle East,2000,69.1,5.0,35.6,44.5,163.596,4337,0,1
Liberia,Africa,2002,52.8,3.6,111.9,163.7,344.857,780,0,1
Guinea-Bissau,Africa,2013,56.1,2.8,64.3,99.7,277.9945,593,0,1
Cote d'Ivoire,Africa,2011,53.6,4.4,72.9,103.1,416.7045,1559,0,1
Haiti,Central America and Caribbean,2009,60.1,4.7,60.0,81.2,267.026,1396,0,1
Togo,Africa,2002,53.7,4.1,71.8,112.9,334.717,501,0,1
"Bahamas, The",Central America and Caribbean,2008,72.0,10.9,13.9,16.2,172.336,34229,0,1
Nicaragua,Central America and Caribbean,2011,72.7,6.1,19.5,22.9,157.757,1761,0,1
Trinidad and Tobago,Central America and Caribbean,2011,72.2,10.8,19.5,21.8,174.802,18026,0,1
Samoa,Oceania,2009,71.4,9.9,18.8,25.7,133.7445,4012,0,1
Djibouti,Africa,2004,57.7,3.6,72.9,91.1,311.1355,863,0,1
Zimbabwe,Africa,2008,46.5,7.0,54.5,94.5,594.7345,850,0,1
Liberia,Africa,2009,59.0,4.0,74.2,103.6,272.1635,634,0,1
Jordan,Middle East,2015,74.1,10.3,15.0,17.5,109.942,4164,0,1
Latvia,European Union,2008,72.4,12.2,7.3,8.8,198.7445,12893,1,0
Bangladesh,Asia,2001,66.0,4.3,60.0,81.1,166.197,674,0,1
Moldova,Rest of Europe,2007,68.3,10.9,15.7,18.3,228.2265,2069,0,1
Grenada,Central America and Caribbean,2010,72.9,8.3,13.0,15.1,151.4055,8058,0,1
Tanzania,Africa,2015,63.1,5.8,40.9,58.1,239.667,948,0,1
Kuwait,Middle East,2014,75.0,6.9,7.7,8.9,59.3025,30857,0,1
Gabon,Africa,2015,64.9,8.1,36.1,50.3,238.5125,7385,0,1
Mozambique,Africa,2002,49.6,2.5,100.3,152.6,445.308,341,0,1
Senegal,Africa,2000,57.8,1.9,67.7,129.5,250.914,1067,0,1
Armenia,Rest of Europe,2011,73.6,11.2,15.5,17.3,133.0115,3099,0,1
Belgium,European Union,2001,78.0,10.2,4.6,5.6,97.8795,35943,1,0
Cyprus,European Union,2011,79.6,11.6,2.7,3.2,56.015,25466,1,0
Lebanon,Middle East,2005,76.9,7.5,12.1,14.1,81.015,6668,0,1
Ireland,European Union,2005,78.9,11.7,4.4,5.2,77.6135,49382,1,0
Tunisia,Africa,2002,73.6,5.2,22.0,26.1,107.7635,2980,0,1
Zimbabwe,Africa,2001,44.0,6.7,51.1,93.8,703.677,1715,0,1
Azerbaijan,Asia,2015,72.3,10.7,23.3,26.3,124.897,5500,0,1
Sao Tome and Principe,Central America and Caribbean,2003,63.4,4.4,45.0,65.6,214.3245,1136,0,1
Nigeria,Africa,2015,53.1,6.0,79.3,126.4,356.2145,2687,0,1
Thailand,Asia,2015,76.1,7.6,9.3,10.8,148.889,5840,0,1
Albania,Rest of Europe,2006,75.4,9.2,16.6,18.5,83.5945,2851,0,1
Romania,European Union,2014,74.9,10.9,8.3,9.9,130.962,8671,1,0
Equatorial Guinea,Africa,2007,54.8,5.4,87.4,124.4,336.8925,14620,0,1
Brunei Darussalam,Asia,2000,73.1,8.3,8.2,10.3,106.3215,34064,0,1
Eswatini,Africa,2006,42.7,5.1,58.8,109.0,588.7775,3060,0,1
"Egypt, Arab Rep.",Africa,2005,69.4,5.6,29.3,35.7,170.095,2830,0,1
Zambia,Africa,2013,59.7,6.8,46.6,71.1,316.2765,1321,0,1
Kenya,Africa,2003,52.4,5.6,53.2,85.4,459.654,1135,0,1
Haiti,Central America and Caribbean,2014,62.1,5.1,54.1,71.9,246.6045,1371,0,1
Rwanda,Africa,2012,65.4,3.7,38.8,54.9,220.852,669,0,1
Iceland,Rest of Europe,2013,82.1,11.9,1.9,2.4,53.1585,50947,1,0
Sierra Leone,Africa,2008,47.5,2.9,114.2,174.9,440.0625,516,0,1
Qatar,Middle East,2014,79.6,9.8,7.0,8.1,57.076,62785,0,1
Switzerland,Rest of Europe,2011,82.7,13.3,3.9,4.5,54.1965,82678,1,0
Kenya,Africa,2006,56.1,5.9,45.7,72.0,374.103,1239,0,1
Mongolia,Asia,2015,69.1,10.1,16.6,19.4,212.841,3875,0,1
Central African Republic,Africa,2005,44.7,3.3,106.1,160.8,523.723,455,0,1
Grenada,Central America and Caribbean,2003,73.0,7.6,12.5,14.8,171.547,7653,0,1
Gabon,Africa,2002,57.8,6.5,51.2,79.6,328.5085,7662,0,1
Mauritania,Africa,2003,61.0,3.2,68.3,110.8,225.6,1283,0,1
Portugal,European Union,2015,81.1,9.1,3.0,3.6,73.283,19250,1,0
Myanmar,Asia,2008,62.7,3.9,63.4,98.4,216.1595,753,0,1
Algeria,Africa,2012,75.4,7.6,22.5,26.2,100.2005,4012,0,1
Tanzania,Africa,2011,59.5,5.1,45.5,68.4,301.7985,845,0,1
Colombia,South America,2011,75.7,7.5,15.2,17.7,145.9445,5468,0,1
Tanzania,Africa,2005,54.3,4.8,58.5,93.9,395.016,692,0,1
Comoros,Africa,2012,62.6,4.6,58.9,79.4,234.8335,1237,0,1
Togo,Africa,2014,59.6,4.7,52.2,78.3,275.155,554,0,1
Ireland,European Union,2009,80.2,12.1,3.6,4.3,73.9955,45386,1,0
Jordan,Middle East,2002,72.1,9.6,21.4,25.3,127.8375,3849,0,1
Netherlands,European Union,2013,81.3,12.1,3.5,4.1,60.819,44055,1,0
Cyprus,European Union,2001,78.1,10.1,5.2,6.0,67.9315,23018,1,0
Belgium,European Union,2007,79.8,11.1,3.9,4.7,86.1695,40290,1,0
Lithuania,European Union,2000,72.0,10.7,8.6,10.7,197.9555,6423,1,0
Liberia,Africa,2013,61.2,4.4,66.9,92.0,252.3375,754,0,1
Ukraine,Rest of Europe,2011,70.8,11.3,9.6,11.2,203.8,2450,0,1
"Gambia, The",Africa,2002,56.8,2.1,58.1,104.2,295.754,700,0,1
Suriname,South America,2007,69.6,7.7,22.2,25.0,187.5935,8204,0,1
Slovenia,European Union,2011,80.0,12.2,2.5,3.1,81.406,20747,1,0
Brazil,South America,2003,71.2,6.2,25.1,28.4,174.611,6896,0,1
Somalia,Africa,2009,53.7,2.1,98.7,161.9,328.7635,280,0,1
Guinea,Africa,2006,54.1,1.6,81.5,130.4,311.2915,655,0,1
Sao Tome and Principe,Central America and Caribbean,2012,68.3,5.1,23.7,30.2,195.5055,1446,0,1
New Zealand,Oceania,2013,81.4,12.1,4.8,5.8,66.5335,37219,1,0
Saudi Arabia,Middle East,2003,73.1,7.1,15.8,18.5,104.079,17385,0,1
Guinea-Bissau,Africa,2007,53.1,2.3,82.5,132.2,296.2785,566,0,1
Canada,North America,2012,81.6,12.8,4.9,5.6,67.445,42316,1,0
Maldives,Asia,2015,77.7,6.3,8.4,9.8,68.362,9033,0,1
Lesotho,Africa,2014,49.9,6.1,71.9,94.2,518.279,1120,0,1
Comoros,Africa,2015,63.5,4.8,54.4,72.3,227.2735,1243,0,1
Trinidad and Tobago,Central America and Caribbean,2015,72.9,10.8,17.3,19.3,168.7145,18384,0,1
Mauritania,Africa,2006,61.6,3.4,66.1,106.1,219.9,1585,0,1
Burundi,Africa,2008,55.7,2.5,66.5,103.6,333.529,306,0,1
United Arab Emirates,Middle East,2015,77.3,10.6,6.5,7.6,68.5765,38663,0,1
Latvia,European Union,2009,73.1,12.3,6.9,8.3,185.722,11240,1,0
Timor-Leste,Oceania,2009,66.8,4.4,53.6,64.4,167.5715,1104,0,1
Sri Lanka,Asia,2002,73.1,10.2,13.4,15.5,140.0585,1939,0,1
Brazil,South America,2008,73.0,6.7,18.4,20.6,159.6305,8259,0,1
Moldova,Rest of Europe,2006,68.0,10.6,16.3,19.0,229.8025,2004,0,1
Costa Rica,Central America and Caribbean,2012,79.1,8.5,8.6,9.9,90.369,10945,0,1
Slovak Republic,European Union,2008,74.7,11.2,6.1,7.4,134.367,14488,1,0
Slovenia,European Union,2002,76.0,11.5,4.1,4.9,115.2275,17302,1,0
Costa Rica,Central America and Caribbean,2007,78.4,8.1,9.7,11.1,94.6415,9725,0,1
Libya,Africa,2007,72.2,6.8,17.3,20.2,130.9605,14010,0,1
Mexico,North America,2007,75.3,8.0,18.2,21.3,121.657,9214,0,1
Papua New Guinea,Oceania,2009,61.7,3.9,45.9,59.3,236.9375,2077,0,1
Peru,South America,2001,71.5,8.1,27.2,35.3,151.0545,3282,0,1
Latvia,European Union,2013,74.0,12.7,5.1,6.0,167.92,12796,1,0
Uzbekistan,Asia,2006,68.7,9.9,34.8,40.1,176.2165,1656,0,1
Slovenia,European Union,2012,80.1,11.7,2.4,2.9,80.7685,20157,1,0
Lao PDR,Asia,2004,61.1,4.2,66.1,90.8,249.926,1112,0,1
Uzbekistan,Asia,2005,68.4,9.8,37.4,43.4,179.348,1560,0,1
Malaysia,Asia,2010,74.5,9.8,6.9,8.1,127.3235,8248,0,1
Portugal,European Union,2011,80.5,8.3,3.0,3.7,83.842,19365,1,0
Honduras,Central America and Caribbean,2003,71.5,4.6,26.6,32.1,165.7915,1846,0,1
Samoa,Oceania,2007,70.9,9.7,16.5,19.3,143.1185,3949,0,1
Algeria,Africa,2011,75.2,7.4,22.9,26.7,102.167,3957,0,1
Burkina Faso,Africa,2009,56.4,1.4,70.3,126.9,285.488,554,0,1
Guinea-Bissau,Africa,2001,50.7,2.3,102.1,168.4,304.195,578,0,1
Philippines,Asia,2010,69.8,8.9,24.8,31.7,206.525,2433,0,1
France,European Union,2001,79.2,10.0,3.9,5.3,99.592,34015,1,0
Malawi,Africa,2010,55.6,4.3,52.4,84.2,390.2415,359,0,1
Antigua and Barbuda,Central America and Caribbean,2003,74.6,9.0,11.5,14.1,150.412,13793,0,1
Grenada,Central America and Caribbean,2002,72.9,7.4,12.6,15.0,174.2165,7016,0,1
"Congo, Rep.",Africa,2002,53.1,5.7,68.0,106.2,422.489,2115,0,1
Tajikistan,Asia,2002,63.7,10.6,58.4,71.0,167.8915,510,0,1
Angola,Africa,2012,57.2,4.8,67.4,105.1,252.352,3128,0,1
Jordan,Middle East,2004,72.4,9.7,20.2,23.9,124.424,4148,0,1
Cuba,Central America and Caribbean,2012,78.4,10.8,4.8,6.1,93.229,7138,0,1
South Africa,Africa,2012,60.1,9.8,31.0,41.5,400.445,6232,0,1
Israel,Middle East,2005,80.2,12.3,4.5,5.6,69.3715,28810,1,0
Portugal,European Union,2004,77.7,7.4,3.9,5.0,98.033,19110,1,0
Iceland,Rest of Europe,2014,82.9,12.2,1.9,2.4,55.2385,51233,1,0
Seychelles,Africa,2005,72.1,7.7,11.8,13.7,166.0905,10790,0,1
"Gambia, The",Africa,2008,59.0,2.6,48.6,80.3,279.9295,708,0,1
Libya,Africa,2002,71.2,5.9,22.7,26.5,141.7245,10129,0,1
"Congo, Dem. Rep.",Africa,2006,54.4,4.5,92.8,131.4,304.8745,371,0,1
Cabo Verde,Africa,2014,71.9,5.8,17.9,21.0,127.3355,3050,0,1
Ukraine,Rest of Europe,2000,67.7,10.7,15.7,18.3,256.5475,1420,0,1
Djibouti,Africa,2006,58.3,3.8,69.4,86.1,299.0395,968,0,1
Germany,European Union,2000,77.9,11.2,4.4,5.4,94.405,34490,1,0
Kenya,Africa,2013,63.4,6.3,37.4,52.3,233.9175,1397,0,1
Bolivia,South America,2008,66.9,7.6,36.7,46.9,208.323,2415,0,1
Uganda,Africa,2015,61.4,5.7,38.9,55.7,311.7215,847,0,1
Latvia,European Union,2004,72.0,11.7,9.2,11.2,213.151,9407,1,0
Romania,European Union,2004,71.6,9.9,16.5,19.4,165.474,5981,1,0
Cambodia,Asia,2004,62.2,3.5,56.9,70.7,228.9875,625,0,1
Bahrain,Middle East,2000,74.4,8.3,10.7,12.5,88.5395,23244,0,1
Uruguay,South America,2010,76.8,8.4,9.3,10.7,111.704,13433,0,1
Turkiye,Middle East,2007,73.2,6.2,19.2,22.5,123.188,8484,0,1
South Africa,Africa,2011,58.9,9.9,32.1,45.6,424.9215,6183,0,1
Chile,South America,2001,76.6,9.0,8.7,10.3,106.8675,8727,0,1
Madagascar,Africa,2004,60.8,5.5,58.0,88.5,266.172,463,0,1
Guatemala,Central America and Caribbean,2014,72.9,6.4,24.6,29.5,165.9155,3903,0,1
"Gambia, The",Africa,2010,59.6,2.8,45.8,73.6,274.965,753,0,1
United States,North America,2011,78.6,13.3,6.1,7.2,105.032,53395,1,0
Samoa,Oceania,2012,72.1,10.2,16.4,19.1,119.683,4012,0,1
Lao PDR,Asia,2007,62.7,4.4,58.7,79.1,231.569,1325,0,1
Australia,Oceania,2003,80.2,11.8,4.9,5.9,69.879,47997,1,0
Kenya,Africa,2008,58.8,6.0,41.4,63.5,324.2835,1255,0,1
Singapore,Asia,2013,82.2,11.4,2.2,2.8,53.8245,53300,0,1
Togo,Africa,2004,54.2,4.2,68.0,106.3,331.999,504,0,1
Djibouti,Africa,2013,62.2,4.0,57.8,70.1,256.191,2384,0,1
Saudi Arabia,Middle East,2000,72.6,6.7,18.8,22.0,109.984,17691,0,1
Eswatini,Africa,2013,51.7,6.3,49.5,62.5,451.479,3624,0,1
Eritrea,Africa,2006,59.5,3.7,44.5,64.6,324.3455,731,0,1
Gabon,Africa,2014,64.3,8.1,37.2,52.8,244.635,7350,0,1
Bangladesh,Asia,2005,67.8,4.5,49.4,64.6,153.489,769,0,1
Greece,European Union,2011,80.7,10.3,3.5,4.0,73.7325,19401,1,0
Armenia,Rest of Europe,2006,72.7,10.9,20.0,22.5,144.2585,2697,0,1
Indonesia,Asia,2000,65.8,6.7,41.0,52.2,190.7545,1868,0,1
Pakistan,Asia,2013,66.1,4.9,65.4,80.6,162.208,1290,0,1
Vietnam,Asia,2007,74.5,6.8,19.1,23.9,134.8,1752,0,1
United Kingdom,Rest of Europe,2011,81.0,13.0,4.3,5.0,71.514,42772,1,0
Morocco,Africa,2006,72.4,4.0,33.6,39.3,104.479,2242,0,1
Costa Rica,Central America and Caribbean,2010,78.8,8.3,9.2,10.5,92.078,10237,0,1
Brazil,South America,2002,70.8,6.0,26.8,30.4,177.768,6905,0,1
Hungary,European Union,2013,75.6,12.0,4.7,5.6,133.9655,11710,1,0
Albania,Rest of Europe,2000,74.0,8.8,24.1,27.2,94.6955,1961,0,1
"Congo, Rep.",Africa,2012,61.4,6.2,40.7,57.9,284.405,2580,0,1
Chile,South America,2000,76.4,8.8,9.2,10.9,108.8855,8556,0,1
Antigua and Barbuda,Central America and Caribbean,2001,74.2,8.9,12.3,15.1,154.2495,13220,0,1
Tajikistan,Asia,2001,62.8,10.6,62.9,77.2,173.3405,468,0,1
Solomon Islands,Oceania,2005,69.2,4.8,24.4,29.3,196.3945,1827,0,1
Kiribati,Oceania,2007,65.0,7.5,50.0,65.5,211.21,1493,0,1
Afghanistan,Asia,2005,58.3,2.6,77.3,108.4,278.3395,346,0,1
Sao Tome and Principe,Central America and Caribbean,2015,69.4,5.6,18.5,23.1,191.586,1585,0,1
Myanmar,Asia,2006,61.9,3.7,55.8,74.5,222.7865,610,0,1
Belarus,Rest of Europe,2014,73.0,12.1,3.3,4.3,175.6015,6213,0,1
Albania,Rest of Europe,2013,77.6,9.7,9.3,10.4,78.243,3781,0,1
"Yemen, Rep.",Middle East,2006,64.0,2.0,52.3,69.1,245.522,2543,0,1
St. Lucia,Central America and Caribbean,2003,73.8,7.3,15.7,18.3,167.83,9209,0,1
Zimbabwe,Africa,2014,58.4,8.2,42.9,62.7,386.5745,1444,0,1
Kyrgyz Republic,Asia,2010,69.3,10.6,26.1,29.5,198.813,966,0,1
Nicaragua,Central America and Caribbean,2012,73.0,6.3,18.7,22.0,154.948,1851,0,1
Australia,Oceania,2001,79.6,11.9,5.0,6.1,73.7145,45865,1,0
Turkiye,Middle East,2000,70.0,5.5,30.9,37.9,145.7185,6544,0,1
Pakistan,Asia,2015,66.6,5.1,62.1,76.0,160.141,1357,0,1
Bhutan,Asia,2006,66.0,2.3,42.3,54.1,245.7,1572,0,1
Montenegro,Rest of Europe,2000,73.2,10.3,12.5,14.2,138.1465,4432,0,1
Finland,European Union,2011,80.5,12.3,2.4,2.9,83.0505,44467,1,0
Qatar,Middle East,2010,79.1,8.4,7.8,9.1,59.613,63002,0,1
Paraguay,South America,2013,73.3,8.3,20.2,23.8,146.917,5130,0,1
Serbia,Rest of Europe,2002,72.3,9.7,9.9,11.5,150.293,3640,0,1
Cote d'Ivoire,Africa,2006,50.6,3.8,83.4,122.0,438.23,1575,0,1
China,Asia,2009,74.1,7.1,13.6,17.0,95.1415,5129,0,1
Cameroon,Africa,2013,56.6,5.9,61.6,96.7,351.1035,1306,0,1
Thailand,Asia,2014,75.7,7.6,9.7,11.3,150.71,5685,0,1
Philippines,Asia,2014,70.5,9.2,23.7,30.1,201.364,2867,0,1
Somalia,Africa,2003,51.8,2.1,104.4,172.7,347.234,202,0,1
Haiti,Central America and Caribbean,2004,58.3,4.2,66.7,91.8,292.919,1266,0,1
Oman,Middle East,2012,76.1,8.6,9.8,11.4,94.4245,20102,0,1
Azerbaijan,Asia,2010,70.9,10.7,32.5,37.3,135.9235,5215,0,1
Italy,European Union,2006,81.3,9.3,3.7,4.3,62.934,33752,1,0
Montenegro,Rest of Europe,2001,73.2,10.3,12.0,13.6,138.1465,4462,0,1
Seychelles,Africa,2008,73.2,8.0,12.0,13.9,158.361,12154,0,1
Barbados,Central America and Caribbean,2008,78.2,9.3,14.1,15.3,110.5555,18240,0,1
